Date,Machine,Units_Produced,Defective_Units,Quality_Rate
2025-01-01,Machine CNC,682,57,91.64
2025-01-01,Tour industriel,754,50,93.37
2025-01-01,Fraiseuse industrielle,895,49,94.53
2025-01-01,Perceuse a colonne,853,42,95.08
2025-01-01,Presse hydraulique,892,42,95.29
2025-01-01,Presse mecanique,935,58,93.8
2025-01-01,Machine de decoupe laser,952,45,95.27
2025-01-01,Machine de decoupe plasma,987,92,90.68
2025-01-01,Machine de soudage robotisee,960,82,91.46
2025-01-01,Robot assemblage,968,58,94.01
2025-01-01,Machine de moulage par injection,1009,53,94.75
2025-01-01,Machine extrusion,893,42,95.3
2025-01-01,Machine de pliage,886,23,97.4
2025-01-01,Machine de polissage,889,32,96.4
2025-01-01,Machine de peinture industrielle,922,77,91.65
2025-01-01,Machine emballage,970,81,91.65
2025-01-01,Etiqueteuse automatique,909,73,91.97
2025-01-01,Convoyeur industriel,985,67,93.2
2025-01-01,Machine de controle qualite par vision,972,42,95.68
2025-01-01,Machine de palettisation automatique,967,39,95.97
2025-01-02,Machine CNC,743,57,92.33
2025-01-02,Tour industriel,809,57,92.95
2025-01-02,Fraiseuse industrielle,820,50,93.9
2025-01-02,Perceuse a colonne,830,43,94.82
2025-01-02,Presse hydraulique,851,45,94.71
2025-01-02,Presse mecanique,939,53,94.36
2025-01-02,Machine de decoupe laser,895,39,95.64
2025-01-02,Machine de decoupe plasma,904,86,90.49
2025-01-02,Machine de soudage robotisee,912,71,92.21
2025-01-02,Robot assemblage,891,54,93.94
2025-01-02,Machine de moulage par injection,900,48,94.67
2025-01-02,Machine extrusion,904,30,96.68
2025-01-02,Machine de pliage,928,29,96.88
2025-01-02,Machine de polissage,914,37,95.95
2025-01-02,Machine de peinture industrielle,944,88,90.68
2025-01-02,Machine emballage,917,81,91.17
2025-01-02,Etiqueteuse automatique,949,72,92.41
2025-01-02,Convoyeur industriel,993,60,93.96
2025-01-02,Machine de controle qualite par vision,983,50,94.91
2025-01-02,Machine de palettisation automatique,1040,39,96.25
2025-01-03,Machine CNC,771,59,92.35
2025-01-03,Tour industriel,763,48,93.71
2025-01-03,Fraiseuse industrielle,824,48,94.17
2025-01-03,Perceuse a colonne,879,44,94.99
2025-01-03,Presse hydraulique,862,41,95.24
2025-01-03,Presse mecanique,888,40,95.5
2025-01-03,Machine de decoupe laser,874,46,94.74
2025-01-03,Machine de decoupe plasma,897,85,90.52
2025-01-03,Machine de soudage robotisee,859,73,91.5
2025-01-03,Robot assemblage,939,52,94.46
2025-01-03,Machine de moulage par injection,915,38,95.85
2025-01-03,Machine extrusion,923,38,95.88
2025-01-03,Machine de pliage,914,32,96.5
2025-01-03,Machine de polissage,906,29,96.8
2025-01-03,Machine de peinture industrielle,980,93,90.51
2025-01-03,Machine emballage,968,85,91.22
2025-01-03,Etiqueteuse automatique,1023,83,91.89
2025-01-03,Convoyeur industriel,1013,71,92.99
2025-01-03,Machine de controle qualite par vision,1016,46,95.47
2025-01-03,Machine de palettisation automatique,1054,34,96.77
2025-01-04,Machine CNC,765,61,92.03
2025-01-04,Tour industriel,726,46,93.66
2025-01-04,Fraiseuse industrielle,764,44,94.24
2025-01-04,Perceuse a colonne,780,34,95.64
2025-01-04,Presse hydraulique,892,48,94.62
2025-01-04,Presse mecanique,854,46,94.61
2025-01-04,Machine de decoupe laser,875,46,94.74
2025-01-04,Machine de decoupe plasma,876,86,90.18
2025-01-04,Machine de soudage robotisee,912,67,92.65
2025-01-04,Robot assemblage,934,57,93.9
2025-01-04,Machine de moulage par injection,908,38,95.81
2025-01-04,Machine extrusion,1004,37,96.31
2025-01-04,Machine de pliage,985,37,96.24
2025-01-04,Machine de polissage,972,41,NaN
2025-01-04,Machine de peinture industrielle,986,85,91.38
2025-01-04,Machine emballage,990,91,90.81
2025-01-04,Etiqueteuse automatique,1016,77,92.42
2025-01-04,Convoyeur industriel,988,59,94.03
2025-01-04,Machine de controle qualite par vision,1018,52,94.89
2025-01-04,Machine de palettisation automatique,1026,30,97.08
2025-01-05,Machine CNC,731,58,92.07
2025-01-05,Tour industriel,805,58,92.8
2025-01-05,Fraiseuse industrielle,761,41,94.61
2025-01-05,Perceuse a colonne,733,39,94.68
2025-01-05,Presse hydraulique,806,46,94.29
2025-01-05,Presse mecanique,879,40,95.45
2025-01-05,Machine de decoupe laser,839,46,94.52
2025-01-05,Machine de decoupe plasma,918,88,90.41
